School,Gender,Age,Housing_Type,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Work,Father_Work,Reason_School_Choice,Legal_Responsibility,Commute_Time,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Attended_Daycare,Desire_Graduate_Education,Has_Internet,Is_Dating,Good_Family_Relationship,Free_Time_After_School,Time_with_Friends,Alcohol_Weekdays,Alcohol_Weekends,Health_Status,School_Absence,Grade_1st_Semester,Grade_2nd_Semester
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,More than 10h,Yes,Yes,No,No,Yes,Yes,Yes,No,Excellent,Very Low,Low,Very Low,Very Low,Fair,4,10,10
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,High School,Services,other,Near Home,Father,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Very Low,Very Good,4,13,14
Gabriel Pereira,Male,15,Rural,Above 3,Living Together,Higher Education,Higher Education,other,other,Near Home,Father,More than 1h,More than 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Very Poor,Moderate,Very High,Moderate,Very High,Very Poor,8,12,10
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Higher Education,Higher Education,Health,Health,Other,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Excellent,High,Very High,Very Low,Very Low,Good,2,15,15
Gabriel Pereira,Male,15,Urban,Up to 3,Separated,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Excellent,Very High,Moderate,Very Low,Very Low,Good,4,13,14
Gabriel Pereira,Female,16,Rural,Above 3,Living Together,High School,High School,Services,other,Reputation,Father,Up to 15 min,5 to 10h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Very Low,Low,Very Low,Very Low,Poor,4,11,11
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Near Home,Mother,Up to 15 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,No,Fair,Very Low,Low,Very Low,Very Low,Very Good,12,8,10
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Higher Education,Lower Secondary School,Teacher,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Fair,Very High,Low,Very Low,Very Low,Fair,10,18,17
Gabriel Pereira,Male,15,Rural,Above 3,Living Together,Lower Secondary School,Primary School,Health,Services,Reputation,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Excellent,High,Low,Very Low,Very Low,Very Good,4,10,9
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,High,Very Low,Low,Very Good,6,16,14
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,other,Teacher,Reputation,Father,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,No,Good,High,Moderate,Very Low,Very Low,Poor,4,16,15
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,High School,other,Services,Near Home,Father,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Excellent,High,Low,Very Low,Very Low,Very Good,6,14,14
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,Primary School,High School,other,other,Course Preference,Father,30 min to 1h,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Low,High,Very Low,High,Very Good,14,12,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,High School,Higher Education,other,other,Reputation,Father,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Fair,High,Moderate,Very Low,Low,Good,2,14,13
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,No,No,Yes,Yes,No,Fair,Low,Moderate,Very Low,Low,Very Poor,0,14,14
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Near Home,Father,Up to 15 min,More than 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Very High,High,Very Low,Low,Very Good,6,14,13
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Lower Secondary School,Higher Education,other,Health,Course Preference,Father,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Low,Low,Very Low,Low,Very Good,2,14,12
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Fair,High,High,Very Low,High,Very Good,4,12,13
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,Yes,Excellent,High,High,Very Low,Very Low,Very Good,0,12,11
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,High School,Higher Education,Services,Services,Near Home,Father,Up to 15 min,Up to 2h,Yes,No,No,No,Yes,Yes,Yes,No,Excellent,Very High,Very High,Moderate,Low,Very Good,2,9,9
Gabriel Pereira,Female,15,Urban,Up to 3,Separated,High School,Higher Education,other,other,Near Home,Mother,Up to 15 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Excellent,Moderate,Low,Very Low,Very Low,Very Poor,0,10,11
Gabriel Pereira,Female,19,Urban,Above 3,Living Together,None,Primary School,Homemaker,other,Course Preference,Other,Up to 15 min,2 to 5h,No,Yes,No,No,No,No,No,No,Fair,High,Low,Very Low,Very Low,Very Good,0,9,10
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Fair,Very High,Very High,Low,Very High,Good,8,14,14
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,High School,other,other,Course Preference,Mother,15 to 30 min,5 to 10h,No,Yes,No,No,No,Yes,Yes,Yes,Fair,Low,Moderate,Low,Low,Very Poor,4,13,12
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,High School,Higher Education,Services,Teacher,Course Preference,Father,15 to 30 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Low,Low,Low,Low,Very Good,0,10,11
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Services,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,No,Yes,Yes,Excellent,High,Very High,Very Low,Moderate,Very Good,10,10,9
Gabriel Pereira,Female,17,Urban,Up to 3,Separated,Lower Secondary School,Primary School,other,other,Course Preference,Mother,30 min to 1h,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Fair,Low,Low,Very Low,Low,Very Good,8,11,10
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Mother,30 min to 1h,Up to 2h,No,Yes,No,Yes,No,Yes,Yes,Yes,Good,Moderate,Moderate,Very Low,Low,Good,6,11,12
Gabriel Pereira,Female,17,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Father,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,Yes,Fair,High,High,Very Low,Moderate,Very Good,2,13,12
Gabriel Pereira,Female,16,Urban,Above 3,Separated,High School,Higher Education,Services,other,Course Preference,Father,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Fair,Low,Very Low,Very Low,High,Very Good,12,15,13
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Homemaker,other,Course Preference,Mother,More than 1h,Up to 2h,No,No,No,No,Yes,Yes,No,No,Fair,Low,Very Low,Very Low,Very Low,Poor,4,9,9
Gabriel Pereira,Female,16,Urban,Above 3,Separated,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,No,No,Excellent,Moderate,High,Very Low,Very Low,Very Good,12,13,11
Gabriel Pereira,Male,15,Rural,Above 3,Living Together,High School,Higher Education,Homemaker,Teacher,Course Preference,Mother,More than 1h,2 to 5h,No,Yes,No,No,Yes,Yes,No,Yes,Excellent,Moderate,Moderate,Very Low,Very Low,Very Good,2,12,11
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Homemaker,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Very Low,Very Low,Very Good,4,13,14
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,High School,Higher Education,Homemaker,other,Course Preference,Mother,30 min to 1h,2 to 5h,No,No,No,No,Yes,Yes,No,No,Excellent,High,Very High,Low,High,Very Good,2,10,9
Gabriel Pereira,Female,16,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Mother,More than 1h,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Excellent,Very Low,Moderate,Very Low,Very Low,Fair,0,14,13
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,High School,Primary School,Services,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,Yes,Fair,Moderate,High,High,Very High,Good,2,11,11
Gabriel Pereira,Female,18,Urban,Above 3,Separated,High School,Lower Secondary School,other,Services,Course Preference,Other,Up to 15 min,5 to 10h,No,Yes,No,Yes,No,Yes,Yes,Yes,Good,Moderate,Moderate,Very High,Very Low,Very Good,10,12,11
Gabriel Pereira,Female,16,Rural,Above 3,Living Together,Primary School,Primary School,other,Services,Reputation,Mother,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,No,Yes,Fair,Moderate,Moderate,Very Low,Low,Very Poor,8,12,11
Gabriel Pereira,Female,16,Urban,Above 3,Separated,High School,High School,other,other,Course Preference,Other,15 to 30 min,Up to 2h,No,Yes,No,Yes,No,Yes,Yes,Yes,Good,Moderate,Low,Very Low,Very Low,Very Good,4,9,9
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Primary School,Primary School,Services,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,No,Yes,Good,High,High,Very Low,Moderate,Very Good,0,10,10
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Low,Very Low,Very Low,Very Good,6,13,14
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Course Preference,Mother,30 min to 1h,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,Yes,Excellent,Very High,Very High,Very Low,Very Low,Very Poor,2,8,9
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,High School,Teacher,Services,Course Preference,Father,15 to 30 min,More than 10h,Yes,Yes,No,No,Yes,Yes,Yes,No,Poor,Low,Low,Very Low,Very Low,Fair,6,9,11
Gabriel Pereira,Female,15,Urban,Above 3,Separated,High School,High School,Services,Services,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,No,No,Yes,No,Yes,Very Poor,Moderate,Low,Low,Moderate,Very Poor,24,9,8
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Moderate,Very Good,0,15,13
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Reputation,Father,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Poor,Moderate,Moderate,Low,Low,Poor,4,12,11
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Services,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Low,Low,Very Low,Very Low,Very Good,2,13,13
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Primary School,Primary School,Homemaker,Homemaker,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Fair,High,High,Moderate,Moderate,Very Poor,4,10,11
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,High,Very High,Very Low,Low,Very Good,22,9,7
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Primary School,other,Services,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,Low,Very Low,Low,Very Good,0,12,12
Gabriel Pereira,Female,15,Urban,Up to 3,Separated,Lower Secondary School,Primary School,Homemaker,other,Near Home,Mother,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,No,Yes,Yes,Good,High,Low,Very Low,Very Low,Very Good,0,11,10
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,High School,Lower Secondary School,Health,Services,Near Home,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Fair,Moderate,Low,Very Low,Very Low,Fair,2,11,11
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,No,Good,Moderate,Low,Very Low,Very Low,Very Good,6,13,12
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,Services,Course Preference,Father,Up to 15 min,2 to 5h,No,No,No,No,No,Yes,No,Yes,Poor,Moderate,High,Low,High,Very Poor,6,11,11
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,No,Yes,Yes,Fair,Moderate,Low,Low,Very Low,Very Good,16,9,9
Gabriel Pereira,Male,15,Urban,Up to 3,Separated,Lower Secondary School,Primary School,Services,other,Course Preference,Mother,More than 1h,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Good,Very High,Very High,Low,Very High,Very Good,0,12,11
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,Primary School,Primary School,other,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,No,Yes,Yes,Poor,Moderate,Very High,Low,Very High,Good,0,11,9
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Primary School,Homemaker,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,Yes,Good,High,High,Moderate,Very High,Very Good,6,9,10
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,High School,High School,Services,Services,Reputation,Other,15 to 30 min,5 to 10h,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,Low,Very Low,Low,Moderate,Fair,2,13,13
Gabriel Pereira,Male,19,Urban,Above 3,Living Together,High School,Lower Secondary School,Services,Homemaker,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,No,Yes,Yes,Good,Very High,High,Very Low,Very Low,Good,6,11,9
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Higher Education,Higher Education,other,Teacher,Course Preference,Mother,Up to 15 min,Up to 2h,Yes,Yes,No,No,Yes,Yes,No,Yes,Good,Low,Very Low,Very Low,Very Low,Good,0,13,13
Gabriel Pereira,Male,15,Rural,Above 3,Living Together,Lower Secondary School,High School,Homemaker,Services,Course Preference,Mother,Up to 15 min,2 to 5h,Yes,No,Yes,Yes,Yes,Yes,No,No,Good,High,High,Very Low,Very Low,Very Poor,0,7,8
Gabriel Pereira,Male,17,Rural,Up to 3,Living Together,Primary School,Lower Secondary School,other,other,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,No,No,Poor,Low,Low,Moderate,Moderate,Very Good,14,9,8
Gabriel Pereira,Female,18,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Mother,30 min to 1h,Up to 2h,No,Yes,No,Yes,No,Yes,No,No,Excellent,Low,Very High,Very Low,Very High,Good,6,11,10
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,30 min to 1h,Up to 2h,No,No,No,No,No,Yes,No,No,Good,Low,Low,Very Low,Low,Fair,4,12,10
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,High School,other,Services,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Very High,Very High,High,High,Very Good,0,10,10
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Primary School,Lower Secondary School,Health,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,No,No,Yes,Yes,No,Good,High,Very High,Moderate,Very High,Very Good,0,9,8
Gabriel Pereira,Male,17,Rural,Up to 3,Living Together,Lower Secondary School,Primary School,Homemaker,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,Yes,Yes,Yes,No,Yes,Yes,Fair,Moderate,Low,Low,Low,Very Good,8,8,8
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,High School,Lower Secondary School,other,other,Course Preference,Mother,15 to 30 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Good,High,High,Very Low,High,Fair,4,7,6
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Primary School,Lower Secondary School,other,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,No,Good,High,High,Low,High,Very Good,2,8,9
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Primary School,High School,Homemaker,Services,Course Preference,Father,Up to 15 min,Up to 2h,No,No,No,No,Yes,No,Yes,No,Excellent,Moderate,Moderate,Very Low,High,Poor,2,9,8
Gabriel Pereira,Male,17,Rural,Up to 3,Living Together,Primary School,Primary School,other,Services,Course Preference,Mother,More than 1h,2 to 5h,No,No,No,Yes,Yes,No,No,Yes,Excellent,Moderate,Very High,Very Low,Very High,Very Good,0,8,8
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,High School,Lower Secondary School,Services,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,Yes,No,No,No,No,Good,Very High,Low,Very Low,Very Low,Poor,10,8,7
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Father,Up to 15 min,2 to 5h,No,No,No,No,Yes,No,Yes,No,Good,Moderate,Very High,Low,High,Good,0,9,10
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Health,Services,Near Home,Father,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,Yes,Good,Low,Moderate,Very Low,Very Low,Fair,0,17,17
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,No,Excellent,Very Low,Very High,Very Low,Very Low,Good,0,12,12
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,Health,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,High,Low,Very Low,Very Low,Fair,0,16,16
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,Higher Education,other,other,Course Preference,Father,30 min to 1h,Up to 2h,No,Yes,No,Yes,No,Yes,Yes,No,Fair,High,Very High,Low,High,Poor,4,9,9
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Primary School,None,other,other,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Low,Very Low,Very Low,Fair,0,16,17
Gabriel Pereira,Male,17,Urban,Up to 3,Living Together,Higher Education,Higher Education,Teacher,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,High,High,Very Low,Moderate,Very Good,0,11,9
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Primary School,High School,Homemaker,Services,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,Yes,Good,Moderate,Very High,Very Low,Very Low,Fair,0,14,13
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,High School,High School,other,other,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,High,Very High,Very Low,Very Low,Good,0,14,14
Gabriel Pereira,Male,17,Urban,Up to 3,Living Together,Higher Education,High School,Teacher,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,No,Good,High,High,High,High,Good,0,10,11
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,other,Reputation,Mother,15 to 30 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Fair,High,High,Very Low,High,Very Good,0,13,12
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,High School,High School,other,other,Reputation,Father,Up to 15 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Good,Moderate,High,Very Low,High,Good,4,11,9
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,Higher Education,Lower Secondary School,Teacher,Services,Other,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Moderate,High,Fair,8,10,9
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Higher Education,High School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent,Low,Moderate,Very Low,Very Low,Poor,4,11,11
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,High School,Teacher,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Fair,High,Moderate,Low,Moderate,Fair,4,11,10
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,High School,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Low,Moderate,Very Low,Low,Fair,0,11,12
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,Higher Education,Services,Services,Reputation,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,No,Excellent,High,Low,Low,Moderate,Very Good,0,17,18
Gabriel Pereira,Female,17,Urban,Up to 3,Living Together,High School,High School,other,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Excellent,Moderate,Moderate,Low,Moderate,Very Poor,32,14,13
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,Lower Secondary School,other,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Very Poor,Low,Low,Very Low,Low,Very Poor,8,14,15
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,High School,High School,Services,Services,Other,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,High,Low,Moderate,Good,6,11,13
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Services,Services,Other,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Fair,Moderate,Moderate,Very Low,Low,Fair,0,10,9
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Primary School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Low,Moderate,Very Low,Low,Very Good,0,13,14
Gabriel Pereira,Female,17,Urban,Above 3,Separated,High School,High School,Health,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,Yes,Fair,Moderate,Moderate,Very Low,Moderate,Fair,10,12,13
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,No,No,Fair,Very Low,Moderate,Very Low,Very High,Fair,6,9,9
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,High School,Services,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Low,Very Low,Poor,6,12,12
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Very Low,Fair,0,12,11
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,Services,Other,Other,15 to 30 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Good,High,High,High,Very High,Very Good,16,10,11
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,High School,High School,Services,Services,Reputation,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Low,Moderate,High,Very Good,0,11,10
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,High School,other,other,Near Home,Father,15 to 30 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Very Low,Fair,0,13,12
Gabriel Pereira,Female,17,Urban,Up to 3,Living Together,Lower Secondary School,Higher Education,Services,Services,Course Preference,Father,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Low,Very Low,Very Low,Very Good,8,14,15
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Teacher,Near Home,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Excellent,Low,Moderate,Very Low,Low,Very Good,4,13,13
Gabriel Pereira,Male,16,Rural,Up to 3,Living Together,High School,High School,Teacher,other,Near Home,Father,30 min to 1h,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Fair,Moderate,High,Moderate,Very High,Fair,16,10,11
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Teacher,Near Home,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Low,High,Low,Moderate,Poor,30,14,15
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Very High,Low,Very Low,Low,Fair,0,11,10
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,High School,Health,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Very High,Very Low,Very High,Poor,2,14,14
